ut,作者,题名,刊名,年,卷,期,issn,页码,单位,论文类型,影响因子,大类分区,二级单位,作者,备注
WOS:000390733000014,"Zhang, Yanyan^Guo, Qingxin^Tang, Lixin",On-line Energy Allocation Based on Approximate Dynamic Programming for Iron and Steel Industry,ISIJ INTERNATIONAL,2016,56,12,0915-1559,2214-2223,"Northeastern Univ, State Key Lab Synthet Automat Proc Ind, Shenyang 110819, Peoples R China",Article,1.11,4,信息学院,张颜颜,
WOS:000376714000005,"Chen, Dongyue^Jia, Tong^Wu, Chengdong",Visual saliency detection: From space to frequency,SIGNAL PROCESSING-IMAGE COMMUNICATION,2016,44,,0923-5965,57-68,"Northeastern Univ, Coll Informat Sci & Engn, Wuhan, Peoples R China",Article,2.244,3,信息学院,陈东岳,
WOS:000379955000011,"Chu, Enhui^Zhang, Xing^Huang, Liang",Research on A Novel Modulation Strategy for Double Auxiliary Resonant Commutated Pole Soft-switching Inverter With the Shunt Dead Time,IEEE TRANSACTIONS ON POWER ELECTRONICS,2016,31,10,0885-8993,6855-6869,"Northeastern Univ, Dept Elect Engn, Shenyang 110819, Peoples R China",Article,7.151,1,信息学院,褚恩辉,
WOS:000377079700023,"Chu, Enhui^Zhang, Xing^Sun, Qiuye^Li, Si^Xiong, Huiming^Yang, Xiaochen",Three-phase double auxiliary resonant commutated pole inverter topology and analysis of its working principle,IET POWER ELECTRONICS,2016,9,7,1755-4535,1536-1545,"Northeastern Univ, Coll Informat Sci & Engn, 3-11 Wenhua Rd, Shenyang, Peoples R China",Article,3.547,2,信息学院,褚恩辉,
WOS:000372848600006,"Feng, Jian^Li, Ning",Design of observer-based event-driven controllers for a class of state-dependent nonlinear systems,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2016,353,7,0016-0032,1573-1593,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,3.139,2,信息学院,冯健,
WOS:000381543400011,"Han, Kezhen^Feng, Jian",A novel two-stage strategy for robust H-infinity filter design of uncertain discrete-time systems,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2016,353,13,0016-0032,3040-3056,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,3.139,2,信息学院,冯健,
WOS:000367822000001,"Wang, Shenquan^Feng, Jian^Jiang, Yulian",Input-output method to fault detection for discrete-time fuzzy networked systems with time-varying delay and multiple packet losses,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2016,47,7,0020-7721,1495-1513,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,2.285,3,信息学院,冯健,
WOS:000383159400013,"Wang, Jian^Feng, Jian^Han, Zhiyan",Discriminative Feature Selection Based on Imbalance SVDD for Fault Detection of Semiconductor Manufacturing Processes,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,2016,25,11,0218-1266,-,"Northeastern Univ, Coll Informat Sci & Technol, 11,Lane 3,Wenhua Rd, Shenyang, Liaoning, Peoples R China",Article,0.481,4,信息学院,冯健,
WOS:000370819100007,"Li, Ning^Feng, Jian",Quantized Feedback Adaptive Reliable H-infinity Control for Linear Time-Varying Delayed Systems,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,2016,35,3,0278-081X,851-874,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,1.694,4,信息学院,冯健,
WOS:000381738200007,"Li, Fangming^Feng, Jian^Liu, Jinhai^Lu, Senxiang",Defect profile reconstruction from MFL signals based on a specially-designed genetic taboo search algorithm,INSIGHT,2016,58,7,1354-2575,380-387,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,0.527,4,信息学院,冯健,
WOS:000374443300014,"Feng, Jian^Wang, Jian^Zhang, Huaguang^Han, Zhiyan",Fault Diagnosis Method of Joint Fisher Discriminant Analysis Based on the Local and Global Manifold Learning and Its Kernel Version,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,2016,13,1,1545-5955,122-133,"Northeastern Univ, Sch Informat Sci & Technol, Shenyang 110819, Peoples R China",Article,3.502,2,信息学院,冯健,
WOS:000383705700012,"Gao, Xianwen^Liu, Tan^Yuan, Qingyun^Wang, Lina",A NOVEL OPTIMIZATION APPROACH FOR OIL AND GAS PRODUCTION PROCESS CONSIDERING MODEL PARAMETERS UNCERTAINTIES,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2016,94,9,0008-4034,1710-1722,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,1.356,4,信息学院,高宪文,
WOS:000383768200011,"Qi, Wenhai^Gao, Xianwen^Kao, Yonggui",Positive L-1-gain filter design for positive Markovian jump systems with time-varying delay and incomplete transition rates,CANADIAN JOURNAL OF PHYSICS,2016,94,9,0008-4204,877-883,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110819, Peoples R China",Article,0.877,4,信息学院,高宪文,
WOS:000367555500005,"Liu, Xiuhua^Gao, Xianwen^Han, Jian",Observer-based fault detection for high-order nonlinear multi-agent systems,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2016,353,1,0016-0032,72-94,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang 110004, Peoples R China",Article,3.139,2,信息学院,高宪文,
WOS:000373410400002,"Liu, Xiuhua^Gao, Xianwen^Han, Jian",Robust unknown input observer based fault detection for high-order multi-agent systems with disturbances,ISA TRANSACTIONS,2016,61,,0019-0578,15-28,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,3.394,2,信息学院,高宪文,
WOS:000360553200017,"Qi, Wenhai^Gao, Xianwen",Finite-time H-infinity control for stochastic time-delayed Markovian switching systems with partly known transition rates and nonlinearity,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2016,47,2,0020-7721,500-508,"Northeastern Univ, Coll Informat Sci & Engn, Shenyang, Peoples R China",Article,2.285,3,信息学院,高宪文,
WOS:000372740400018,"Zhao, Shitie^Gao, Xianwen",Robust adaptive control for a class of uncertain non-affine nonlinear systems using affine-type neural networks,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,2016,47,11,0020-7721,2691-2699,"Northeastern Univ, Sch Informat Sci & Engn, Shenyang, Peoples R China",Article,2.285,3,信息学院,高宪文,
